Key,English,ChineseSimplified,ChineseTraditional,Spanish,French,Russian,Portuguese,Japanese,Korean
 消灭!, Exterminate!, 消灭!,,,,,, 一掃する！, 닦아라!
Text_Content_11001,Text_Content_11001,Text_Content_11001,,,,,,Text_Content_11001,Text_Content_11001
本轮胜利者！,Winner of this round!,本轮胜利者！,,,,,,このラウンドの勝者!,이번 라운드의 승자!
玩家A,Player A,玩家A,,,,,,プレイヤーA,플레이어 A
GM,GM,GM,,,,,,GM,GM
Button,Button,Button,,,,,,Button,Button
达拉崩吧斑得贝迪卜多比鲁翁,Let's get this party started!,达拉崩吧斑得贝迪卜多比鲁翁,,,,,,ダラ ベンバ バーデ ベディブ ドビルン,다라 벤바 베디베디브 도빌루옹
在线30分钟免费领取（30/30）,Claim for free in 30 minutes online (30/30),在线30分钟免费领取（30/30）,,,,,,オンライン30分無料（30/30）,온라인 30분 무료(30/30)
凶手专用：逐日(符文),Killer Exclusive: Daily (Runes),凶手专用：逐日(符文),,,,,,マーダーズ・スペシャル：デイ・バイ・デイ（ルーン）,살인자의 스페셜: 하루하루(룬)
免费领取,Free to claim,免费领取,,,,,,無料で入手,무료로 받으세요
明日奖励：侦探专用-黄金左轮(虹彩),Tomorrow's reward: Detective Exclusive - Gold Revolver (Rainbow),明日奖励：侦探专用-黄金左轮(虹彩),,,,,,明日の報酬：刑事スペシャル - ゴールド・リボルバー（レインボーカラー）,내일의 보상: 탐정 스페셜 - 골드 리볼버(레인보우 컬러)
Text_Content_20030,Text_Content_20030,Text_Content_20030,,,,,,Text_Content_20030,Text_Content_20030
Text_FreeCoupon,Text_FreeCoupon,Text_FreeCoupon,,,,,,Text_FreeCoupon,Text_FreeCoupon
Text_Set,Text_Set,Text_Set,,,,,,Text_Set,Text_Set
Text_ChangeClothes,Text_ChangeClothes,Text_ChangeClothes,,,,,,Text_ChangeClothes,Text_ChangeClothes
Text_Content_20052,Text_Content_20052,Text_Content_20052,,,,,,Text_Content_20052,Text_Content_20052
Text_Content_20009,Text_Content_20009,Text_Content_20009,,,,,,Text_Content_20009,Text_Content_20009
Text_Content_12018,Text_Content_12018,Text_Content_12018,,,,,,Text_Content_12018,Text_Content_12018
Text_HUD_SkillShop,Text_HUD_SkillShop,Text_HUD_SkillShop,,,,,,Text_HUD_SkillShop,Text_HUD_SkillShop
Text_Content_20003,Text_Content_20003,Text_Content_20003,,,,,,Text_Content_20003,Text_Content_20003
还原,Restore,还原,,,,,,削減,절감
Loading,Loading,Loading,,,,,,Loading,Loading
武器名字,Weapon Name,武器名字,,,,,,武器名,무기 이름
Text_Content_12024,Text_Content_12024,Text_Content_12024,,,,,,Text_Content_12024,Text_Content_12024
物品名字物品名字,Item Name Item Name,物品名字物品名字,,,,,,項目名 項目名,아이템 이름 아이템 이름
Text_Content_12019,Text_Content_12019,Text_Content_12019,,,,,,Text_Content_12019,Text_Content_12019
"武器名字
武器名字","Weapon Name
Weapon Name","武器名字
武器名字",,,,,,"武器名
武器名","무기 이름
무기 이름"
3%,3%,3%,,,,,,3%,3%
Text_Content_12025,Text_Content_12025,Text_Content_12025,,,,,,Text_Content_12025,Text_Content_12025
武器名称,Weapon Name,武器名称,,,,,,武器名,무기 이름
Text_Content_12026,Text_Content_12026,Text_Content_12026,,,,,,Text_Content_12026,Text_Content_12026
保存瞳孔瞳孔,Save Pupil,保存瞳孔瞳孔,,,,,,生徒を守る,동공 동공 보존
调颜板-上衣,Cosmetic Board - Top,调颜板-上衣,,,,,,パレット - トップス,팔레트 - 탑
部位 1,Part 1,部位 1,,,,,,部位 1,파트 1
免费,Free,免费,,,,,,無料,무료
重置平台形象,Reset Platform Avatar,重置平台形象,,,,,,プラットフォーム・イメージをリセット,플랫폼 이미지 재설정
捏脸,Face Punch,捏脸,,,,,,顔をつねる,얼굴 꼬집기
套装,Outfit,套装,,,,,,スーツ,정장
前发,Forward,前发,,,,,,前髪,앞머리
保存提示,Save Tip,保存提示,,,,,,節約術,저장 팁
试穿好友的角色形象,Try on your friend's character,试穿好友的角色形象,,,,,,親友のキャラクターを着てみる,절친의 캐릭터 이미지 입어보기
保存,Save,保存,,,,,,保存,구하다
不保存,Do not save,不保存,,,,,,保存しないでください,저장하지 않음
请选择要游玩的地图,Please select the map you want to play,请选择要游玩的地图,,,,,,プレイしたいマップを選択してください,플레이하고 싶은 맵을 선택해주세요
地图名称一,Name I,地图名称一,,,,,,マップ名 1,지도 이름 1
地图名称二,Name Two,地图名称二,,,,,,マップ名2,지도 이름 2
地图名称三,Name Three,地图名称三,,,,,,マップ名3,지도 이름 3
黑手党,Mafia,黑手党,,,,,,マフィア,마피아
VS,VS,VS,,,,,,VS,VS
Text_Content_12007,Text_Content_12007,Text_Content_12007,,,,,,Text_Content_12007,Text_Content_12007
Text_Content_12008,Text_Content_12008,Text_Content_12008,,,,,,Text_Content_12008,Text_Content_12008
杀手,Assassin,杀手,,,,,,キラー,살인자
Text_Content_12009,Text_Content_12009,Text_Content_12009,,,,,,Text_Content_12009,Text_Content_12009
消灭了3名学生,Eliminated 3 students,消灭了3名学生,,,,,,生徒3人を殺害,학생 3명 살해
Text_Content_12014,Text_Content_12014,Text_Content_12014,,,,,,Text_Content_12014,Text_Content_12014
Text_Content_12015,Text_Content_12015,Text_Content_12015,,,,,,Text_Content_12015,Text_Content_12015
Text_Content_12016,Text_Content_12016,Text_Content_12016,,,,,,Text_Content_12016,Text_Content_12016
"Your first round is over, take a look at the settlement panel","Your first round is over, take a look at the settlement panel","Your first round is over, take a look at the settlement panel",,,,,,"Your first round is over, take a look at the settlement panel","Your first round is over, take a look at the settlement panel"
Here is the final result of the game,Here is the final result of the game,Here is the final result of the game,,,,,,Here is the final result of the game,Here is the final result of the game
Here shows the two players who impacted the game most as well as their wins and losses,Here shows the two players who impacted the game most as well as their wins and losses,Here shows the two players who impacted the game most as well as their wins and losses,,,,,,Here shows the two players who impacted the game most as well as their wins and losses,Here shows the two players who impacted the game most as well as their wins and losses
Here's shows your earning in this round,Here's shows your earning in this round,Here's shows your earning in this round,,,,,,Here's shows your earning in this round,Here's shows your earning in this round
全服排行榜,Global Leaderboard,全服排行榜,,,,,,サーバー全体のランキング,서버 전체 순위
排名,Ranking,排名,,,,,,ランキング,순위
昵称,Nickname,昵称,,,,,,ニックネーム,닉네임
分数,Score,分数,,,,,,分数,분수
时长全服前500名,Top 500 Global Time Servers,时长全服前500名,,,,,,サービス全体における労働時間トップ500,전체 서비스에서 사용 시간 기준 상위 500명
总击败,Total Defeat,总击败,,,,,,トータルビート,총 비트
帅哥你谁啊帅哥你谁啊,Who are you? Who are you?,帅哥你谁啊帅哥你谁啊,,,,,,ハンサム、あなたは誰ですか? ハンサム、あなたは誰ですか?,"잘 생긴 남자, 당신은 누구입니까? 잘 생긴 남자, 당신은 누구입니까?"
背景音量：99,Background Volume: 99,背景音量：99,,,,,,バックグラウンド・ボリューム：99,백그라운드 볼륨: 99
点击生成新的角色ID,Tap to generate a new character ID,点击生成新的角色ID,,,,,,新しい役割IDの生成」をクリックする,새 역할 ID 생성을 클릭합니다.
我的角色ID-分享好友试穿,My Character ID - Share Friend Try On,我的角色ID-分享好友试穿,,,,,,マイキャラID - 友達とシェアして試着しよう！,내 캐릭터 ID - 친구들과 공유하여 입어 보세요!
1026MJK0,1026MJK0,1026MJK0,,,,,,1026MJK0,1026MJK0
Free Try On,Free Try On,Free Try On,,,,,,Free Try On,Free Try On
抽奖获得,Won by Lottery,抽奖获得,,,,,,抽選で当たりました,복권으로 당첨됨
Text_Content_20019,Text_Content_20019,Text_Content_20019,,,,,,Text_Content_20019,Text_Content_20019
Text_Content_20020,Text_Content_20020,Text_Content_20020,,,,,,Text_Content_20020,Text_Content_20020
Text_Content_20014,Text_Content_20014,Text_Content_20014,,,,,,Text_Content_20014,Text_Content_20014
Text_Content_20029,Text_Content_20029,Text_Content_20029,,,,,,Text_Content_20029,Text_Content_20029
Text_Content_20013,Text_Content_20013,Text_Content_20013,,,,,,Text_Content_20013,Text_Content_20013
Text_Content_20012,Text_Content_20012,Text_Content_20012,,,,,,Text_Content_20012,Text_Content_20012
Text_Shop_Skin,Text_Shop_Skin,Text_Shop_Skin,,,,,,Text_Shop_Skin,Text_Shop_Skin
Text_Content_20015,Text_Content_20015,Text_Content_20015,,,,,,Text_Content_20015,Text_Content_20015
Text_Content_20016,Text_Content_20016,Text_Content_20016,,,,,,Text_Content_20016,Text_Content_20016
Text_Content_20017,Text_Content_20017,Text_Content_20017,,,,,,Text_Content_20017,Text_Content_20017
Text_Content_20018,Text_Content_20018,Text_Content_20018,,,,,,Text_Content_20018,Text_Content_20018
Text_Content_20021,Text_Content_20021,Text_Content_20021,,,,,,Text_Content_20021,Text_Content_20021
Text_Content_20022,Text_Content_20022,Text_Content_20022,,,,,,Text_Content_20022,Text_Content_20022
Text_Content_20023,Text_Content_20023,Text_Content_20023,,,,,,Text_Content_20023,Text_Content_20023
Text_Content_20024,Text_Content_20024,Text_Content_20024,,,,,,Text_Content_20024,Text_Content_20024
Text_Content_12028,Text_Content_12028,Text_Content_12028,,,,,,Text_Content_12028,Text_Content_12028
装备,Equipment,装备,,,,,,装置,장비
Text_Content_12034,Text_Content_12034,Text_Content_12034,,,,,,Text_Content_12034,Text_Content_12034
Text_Content_12033,Text_Content_12033,Text_Content_12033,,,,,,Text_Content_12033,Text_Content_12033
能力名称,Ability Name,能力名称,,,,,,アビリティ名,능력 이름
详情描述,Details,详情描述,,,,,,詳細な説明,자세한 설명
Text_Content_12031,Text_Content_12031,Text_Content_12031,,,,,,Text_Content_12031,Text_Content_12031
Text_Content_12032,Text_Content_12032,Text_Content_12032,,,,,,Text_Content_12032,Text_Content_12032
Text_KillerPowerAssembly,Text_KillerPowerAssembly,Text_KillerPowerAssembly,,,,,,Text_KillerPowerAssembly,Text_KillerPowerAssembly
你是哪个你是哪个你是哪个,Which one are you? Which one are you?,你是哪个你是哪个你是哪个,,,,,,あなたはどっち？,당신은 어느 쪽입니까? 당신은 어느 쪽입니까? 당신은 어느 쪽입니까?
Text_Ranking,Text_Ranking,Text_Ranking,,,,,,Text_Ranking,Text_Ranking
"apiData.apiValue数据长度异常,${JSON.stringify(apiData)}","apiData.apiValue data length abnormal, ${JSON.stringify(apiData)}","apiData.apiValue数据长度异常,${JSON.stringify(apiData)}",,,,,,apiData.apiValue データ長が異常です。${JSON.stringify(apiData)},apiData.apiValue 데이터 길이가 비정상적입니다. ${JSON.stringify(apiData)}
"颜色换算大于八位,${color}","Color conversion greater than 8 characters, ${color}","颜色换算大于八位,${color}",,,,,,カラー変換が 8 桁を超える場合、${color},"색상 변환이 8자리보다 큼, ${color}"
爱玩游戏的小胖子,Game-playing little fat guy.,爱玩游戏的小胖子,,,,,,ゲームが大好きなデブ男,게임을 좋아하는 뚱뚱한 남자
测试弹幕,Test Bomb,测试弹幕,,,,,,テストポップアップ,팝업 테스트
Hot-热门,Hot - Popular,Hot-热门,,,,,,ホットホット,Hot-Hot
Wing-翅膀,Wing - Wing,Wing-翅膀,,,,,,ウィング,Wing
Prop-道具,Prop - Item,Prop-道具,,,,,,プロップ,소품-소품
Food-食品,Food - Food,Food-食品,,,,,,Food-食品,식품 - 식료품
Other-烟花,Other - Fireworks,Other-烟花,,,,,,その他-花火,기타-불꽃놀이
改变背景音效,Change Background Sound Effect,改变背景音效,,,,,,背景音の変更,배경 사운드 변경하기
增加金币,Increase Coins,增加金币,,,,,,金貨を増やす,금화 증가
增加钻石,Increase Diamonds,增加钻石,,,,,,ダイヤモンドを追加する,다이아몬드 추가
增加游戏内的金币10,Increase in-game coins by 10,增加游戏内的金币10,,,,,,ゲーム内ゴールドコインを10枚増やす,게임 내 금화를 10 늘립니다.
下次抽奖保底,Guaranteed Draw,下次抽奖保底,,,,,,次回の抽選が保証されます,다음 추첨 보장
增加广告券,Increase Voucher,增加广告券,,,,,,広告クーポンを追加する,광고 쿠폰 추가
修改大厅时间,Modify Lobby Time,修改大厅时间,,,,,,ロビー時間を変更する,로비 시간 수정
技能体验券+10,Skill Voucher +10,技能体验券+10,,,,,,スキル経験値クーポン+10,스킬 경험치 쿠폰 +10
切换热武器，对局内使用,Switch hot weapons for in-game use,切换热武器，对局内使用,,,,,,人気の武器を切り替えてゲームで使用してください,뜨거운 무기를 바꿔서 게임에서 사용하세요
背景音乐大小：${(this.mProgressBar.currentValue * 100).toFixed(0)},Background Music Size: ${(this.mProgressBar.currentValue * 100).toFixed(0)},背景音乐大小：${(this.mProgressBar.currentValue * 100).toFixed(0)},,,,,,バックグランドミュージックのサイズ: ${(this.mProgressBar.currentValue * 100).toFixed(0)},배경 음악 크기: ${(this.mProgressBar.currentValue * 100).toFixed(0)}
背景音乐大小：${(v * 100).toFixed(0)},Background Music Size: ${(v * 100).toFixed(0)},背景音乐大小：${(v * 100).toFixed(0)},,,,,,バックグランドミュージックのサイズ: ${(v * 100).toFixed(0)},배경 음악 크기: ${(v * 100).toFixed(0)}
世界UI,World,世界UI,,,,,,世界UI,월드 UI
蹦床,Trampoline,蹦床,,,,,,トランポリン,트램펄린
Double-双人,Double - Double,Double-双人,,,,,,ダブル・ダブル,더블-더블
Social-社交,Social-Social,Social-社交,,,,,,ソーシャル-ソーシャル,소셜-소셜
Dance-舞蹈,Dance - Dance,Dance-舞蹈,,,,,,ダンス,댄스 - 댄스
Pose-拍照,Pose - Photo,Pose-拍照,,,,,,ポーズ写真,포즈-사진
Other-其他,Other - Other,Other-其他,,,,,,その他 - その他,기타 - 기타
托举,Lift,托举,,,,,,持ち上げる,리프팅
肩抗,Shoulder Resistance,肩抗,,,,,,肩の抵抗,어깨 저항
拖,Drag,拖,,,,,,ドラッグ,견인
公主抱,Princess Carry,公主抱,,,,,,お姫様抱っこ,공주 포옹
背,Carry,背,,,,,,背,뒤쪽에
拉丁,Latin,拉丁,,,,,,ラテン,라틴어
现代03,Modern 03,现代03,,,,,,モダン03,현대 03
爵士,Sir,爵士,,,,,,爵士,재즈
现代02,Modern 02,现代02,,,,,,モダン02,현대 02
告别,Bid farewell,告别,,,,,,別れを告げる,작별 인사를 하다
鼓掌,Applause,鼓掌,,,,,,拍手する,박수를 보내다
行礼,Salute,行礼,,,,,,敬礼,경례
喝彩,Cheers,喝彩,,,,,,乾杯,건배
欢呼,Cheers,欢呼,,,,,,乾杯,환호
加油,Come On,加油,,,,,,来て,어서 해봐요
开心跺脚,Happy Stomp,开心跺脚,,,,,,楽しそうに足を踏み鳴らしている,즐겁게 발을 구르며
高举击掌,High Five,高举击掌,,,,,,ハイタッチ,하이파이브
耍帅,Play Cool,耍帅,,,,,,クールに振る舞う,쿨하게 행동해
后空翻,Backflip,后空翻,,,,,,バックフリップ,공중제비
拒绝,Reject,拒绝,,,,,,拒否する,거부하다
不服气,Unconvinced,不服气,,,,,,納得できない,확신하지 못함
挑衅,Provocation,挑衅,,,,,,挑発的な,성나게 하는
嘲讽,Taunt,嘲讽,,,,,,嘲笑する,조소
出拳,Punch,出拳,,,,,,パンチ,펀치
大脚踹,Big Tread,大脚踹,,,,,,ビッグキック,큰 킥
鞠躬,Bow,鞠躬,,,,,,弓,절하다
跪拜,Kneel Down,跪拜,,,,,,お辞儀をする,절하다
俯首跪姿,Kneel Down,俯首跪姿,,,,,,お辞儀とひざまずく,절하고 무릎을 꿇고
害羞捂脸,Shy Face,害羞捂脸,,,,,,恥ずかしくて顔を覆う,부끄러워서 얼굴을 가린 채
比心,Heart Pose,比心,,,,,,比較,비교
飞吻,Kiss,飞吻,,,,,,投げキッスをする,키스를 날리다
亲吻,Kiss,亲吻,,,,,,キス,키스
牵手吻,Hold Hands,牵手吻,,,,,,手を繋いでキスをする,손을 잡고 키스하는 모습
单膝跪地,Get down on one knee.,单膝跪地,,,,,,片膝をつきます,한쪽 무릎을 꿇고
生气,Angry,生气,,,,,,怒り,화난
失望,Disappointed,失望,,,,,,失望,실망
哭泣,Weeping,哭泣,,,,,,泣く,울다
科目三,Topic Three,科目三,,,,,,科目三,주제 3
霹雳舞,Breakdance,霹雳舞,,,,,,ブレイクダンス,브레이크 댄스
一分一秒,"Minute, Minute, Second",一分一秒,,,,,,一分一秒,1분 1초
外星人,Alien,外星人,,,,,,エイリアン,외계인
恋爱,In Love,恋爱,,,,,,恋愛中,사랑에 빠졌다
小熊跳舞,Bear Dances,小熊跳舞,,,,,,踊るクマ,춤추는 곰
爱杀宝贝,Love to Kill,爱杀宝贝,,,,,,赤ちゃんを殺すのが大好き,아기를 죽이고 싶어
怦然心动,Radiant Heart,怦然心动,,,,,,鼓動する心臓,뛰는 심장
今天我们开始,We start today.,今天我们开始,,,,,,今日から始めます,오늘 우리는 시작합니다
和我交往吗,Are you going out with me?,和我交往吗,,,,,,私とデートしてくれませんか？,나랑 데이트할래?
天鹅舞,Swan Dance,天鹅舞,,,,,,白鳥の踊り,백조의 춤
海草舞,Seaweed Dance,海草舞,,,,,,海藻ダンス,해초 댄스
招呼舞,Greeting Dance,招呼舞,,,,,,挨拶ダンス,인사 댄스
街舞,Hiphop,街舞,,,,,,ヒップホップ,힙합
海盗,Pirate,海盗,,,,,,海賊,해적
鲤鱼,Koi,鲤鱼,,,,,,鯉,잉어
拉丁舞,Latin,拉丁舞,,,,,,ラテンダンス,라틴 댄스
鬼步舞,Ghost Step,鬼步舞,,,,,,ゴーストダンス,유령춤
没有明天,No tomorrow,没有明天,,,,,,明日はない,내일은 안돼
电流舞,Electric Dance,电流舞,,,,,,エレクトリックダンス,일렉트릭 댄스
告别记忆,Farewell Memory,告别记忆,,,,,,思い出に別れを告げる,기억과의 작별
醉酒的蝴蝶,Butterfly,醉酒的蝴蝶,,,,,,酔った蝶,취한 나비
舞蹈01,Dance 01,舞蹈01,,,,,,ダンス01,댄스 01
小熊跳舞01,Bear Dance 01,小熊跳舞01,,,,,,ダンシング・ベア 01,춤추는 곰 01
魔法城堡01,Magic Castle 01,魔法城堡01,,,,,,マジック・キャッスル 01,마법의 성 01
魔法城堡02,Magic Castle 02,魔法城堡02,,,,,,マジック・キャッスル 02,마법의 성 02
魔法城堡03,Magic Castle 03,魔法城堡03,,,,,,マジック・キャッスル 03,마법의 성 03
极乐净土,Blissful Land,极乐净土,,,,,,極楽浄土,순수한 행복의 땅
自由之轮,Wheel of Freedom,自由之轮,,,,,,フリーダムホイール,자유의 바퀴
Full Video（女）,Full Video (Female),Full Video（女）,,,,,,Full Video（女）,전체영상(여)
Full Video（男）,Full Video (Male),Full Video（男）,,,,,,Full Video（男）,풀영상(남)
Permission（女3）,Permission (Female 3),Permission（女3）,,,,,,Permission（女3）,허가 (여성 3)
Permission（男1）,Permission (Male 1),Permission（男1）,,,,,,Permission（男1）,허가 (남성 1)
Permission（女1）,Permission (Female 1),Permission（女1）,,,,,,Permission（女1）,허가 (여성 1)
Permission（女2）,Permission (Female 2),Permission（女2）,,,,,,Permission（女2）,허가 (여성 2)
How You Like That（女）,How You Like That (Female),How You Like That（女）,,,,,,How You Like That（女）,How You Like That(여)
How You Like That（男）,How You Like That (Male),How You Like That（男）,,,,,,How You Like That（男）,How You Like That(남성)
扭胯,Twist,扭胯,,,,,,腰をひねる,엉덩이를 비틀어보세요
欢迎你来,Welcome!,欢迎你来,,,,,,ようこそ,환영합니다
摇曳舞,Sway Dance,摇曳舞,,,,,,スイングダンス,스윙댄스
桃源恋歌,Peach Love,桃源恋歌,,,,,,桃園ラブソング,복숭아 정원 사랑 노래
